Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
482,Derrick White,SG,29,BOS,24,24,782,6.0,12.2,.492,3.1,7.2,.429,2.9,5.1,.582,3.0,3.5,.868,0.9,3.5,4.4,5.6,1.4,1.3,1.9,2.3,18.2,whitede01
483,Cam Whitmore,SF,19,HOU,5,0,32,7.9,16.9,.467,1.1,5.6,.200,6.8,11.3,.600,5.6,11.3,.500,1.1,7.9,9.0,2.3,1.1,0.0,2.3,2.3,22.5,whitmca01
484,Aaron Wiggins,SG,25,OKC,23,0,272,5.8,9.7,.603,1.5,3.0,.478,4.4,6.6,.660,2.3,3.0,.739,1.9,4.2,6.1,2.1,1.3,0.1,1.6,2.9,15.4,wiggiaa01
485,Andrew Wiggins,SF,28,GSW,25,21,664,6.4,15.2,.420,1.3,4.3,.300,5.1,10.9,.468,2.6,3.9,.667,2.7,3.5,6.2,1.5,0.4,0.5,2.3,3.2,16.7,wiggian01
486,Lindell Wigginton,PG,25,MIL,3,0,8,9.0,22.5,.400,0.0,9.0,.000,9.0,13.5,.667,9.0,9.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,27.0,wiggili01
487,Grant Williams,PF,25,DAL,24,24,708,4.0,9.5,.425,2.6,6.6,.395,1.4,2.9,.491,1.1,1.6,.656,1.5,3.2,4.7,2.1,0.4,0.7,1.0,3.5,11.7,willigr01
488,Jalen Williams,PF,22,OKC,22,22,708,7.2,14.6,.495,1.1,3.2,.355,6.1,11.4,.533,3.6,4.1,.877,0.4,4.1,4.5,4.1,1.0,0.4,1.9,3.1,19.2,willija06
489,Jaylin Williams,C,21,OKC,20,0,262,4.0,10.2,.392,2.3,6.3,.370,1.6,3.8,.429,1.8,1.9,.929,1.6,7.8,9.5,3.7,1.0,0.3,1.4,4.8,12.1,willija07
490,Jeenathan Williams,SG,24,HOU,4,0,22,9.8,18.0,.545,0.0,3.3,.000,9.8,14.7,.667,1.6,3.3,.500,0.0,0.0,0.0,3.3,1.6,0.0,0.0,3.3,21.3,willije02
491,Kenrich Williams,PF,29,OKC,15,0,219,4.8,9.7,.492,2.0,4.6,.429,2.8,5.1,.548,0.5,1.6,.300,1.8,5.1,6.9,3.6,0.8,0.3,0.7,4.4,12.0,willike04
492,Mark Williams,C,22,CHO,19,19,508,6.9,10.7,.649,0.0,0.0,,6.9,10.7,.649,3.3,4.5,.719,5.4,7.7,13.0,1.6,1.1,1.4,1.2,3.5,17.1,willima07
493,Patrick Williams,PF,22,CHI,29,19,788,4.7,10.6,.442,1.8,4.3,.411,2.9,6.3,.464,1.6,2.2,.735,1.6,4.0,5.6,1.9,1.2,1.2,1.5,2.4,12.8,willipa01
494,Robert Williams,C,26,POR,6,0,119,5.1,7.9,.654,0.0,0.0,,5.1,7.9,.654,2.1,2.7,.778,3.3,8.2,11.5,1.5,2.1,2.1,2.1,5.1,12.4,williro04
495,Vince Williams Jr.,SG,23,MEM,18,4,335,3.3,7.6,.437,2.4,6.0,.393,1.0,1.6,.600,2.0,2.5,.826,1.5,6.9,8.4,2.6,0.6,1.1,1.4,4.3,11.1,willivi01
496,Ziaire Williams,SF,22,MEM,24,8,480,4.9,12.5,.389,1.9,6.3,.310,2.9,6.2,.470,2.2,2.4,.906,1.1,6.1,7.3,2.5,0.7,0.4,2.3,3.2,13.9,willizi02
497,Zion Williamson,PF,23,NOP,23,23,701,10.3,17.9,.578,0.1,0.4,.286,10.2,17.5,.584,5.3,8.1,.652,2.4,4.5,6.8,5.4,1.2,0.4,2.9,3.1,26.0,willizi01
498,Jalen Wilson,PF,23,BRK,7,0,52,4.2,6.2,.667,1.4,2.1,.667,2.8,4.2,.667,2.8,2.8,1.000,2.1,3.5,5.5,2.8,0.7,0.7,1.4,2.1,12.5,wilsoja03
